"id","title","details","index","is_visible","is_active","is_free","chapter_id","duration","vimeo_id","filename","created_at","updated_at","deleted_at"
"1","Installing Nova","Let's learn how to install Nova using the direct local folder repository or via composer update. Also, why you should use symlinks to sync your files and not mirror them into the vendor directory","1","1","1","0","1","586","426578439","Mastering Nova - Installing Nova.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"2","First glance at the file structure","After installing Nova, let's look at what have changed in your web app folders. What resources were installed and how you can use them to customize your frontend view partials, a walkthrough the nova.php configuration file, the nova source files and how Nova communicates your user actions via the nova-api","2","1","1","0","1","709","440095119","Mastering Nova - First look at the file structure.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"3","What is a Resource?","Let's take a look to the Resource that comes by default when you install your Nova instance, that is the Users Resource. You'll learn the default basic properties and also see what happens when you change them. And after this lesson we will create our first Resource and start working from there","3","1","1","0","1","543","440130924","Mastering Nova - What is a Resource.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"4","Creating your first Resource","After using a migration to create our Products table, and the respective Eloquent Model, time to create our first Resource and start working from there. You'll learn how to use the Resource default properties, plus some that will very useful, and also how to create the fields for your Resource. We will then do a first try in creating the Fields and prepare to deep dive a little further in this scope","4","1","1","0","1","938","440233416","Mastering Nova - Creating your first Resource.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"5","First glance to the Resource Fields","Fields are one of the most important attributes of your Resource. There is tons of things you can configure them, validations, visibilty, display computation, besides extending them with your own business logic. In this tutorial we will pay a visit to the most popular Field methods, like visibility and validation","5","1","1","0","1","558","440237994","Mastering Nova - First glance to the Resource Fields.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"6","The beauty of Filters","Lets start interacting with other functionalities of Nova, in this case the Filters. Let's create a first Filter, and apply it to 2 different Resources for filter active statuses. Also, you will learn how to dynamically render the header of the filter given the resource singular name that you working with","6","1","1","0","1","792","440406246","Mastering Nova - The beauty of Filters.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"7","Getting deeper on data viewing using Lenses","Lenses allows you to completely redesign your index query in order to show the data in a customized way. So, in this lesson we will create a Lens about the Top Buyers from our users and Products. We will also learn how to be able to sort computed columns since normally you can't do that without transforming your query in a different way","7","1","1","0","1","1037","440457414","Mastering Nova - Getting deeper on data viewing using Lenses.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"8","Executing Actions on your Resources","Actions allows you to bulk execute operations in the Resources that you select. So, let's create a first action that will change the status value in the Users Resources that we select, and also we will learn how to run Actions directly in the rows and not only in the Resources that we check","8","1","1","0","1","712","440566590","Mastering Nova - Executing Actions on your Resources.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"9","Visualizing data using Metrics","Metrics are charts that allows you to quickly display data from your Resources. In this tutorial let's go by the 3 types of metrics you can create and see how easy they are to customize","9","1","1","0","1","781","440572988","Mastering Nova - Visualizing data using Metrics.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"10","First glance at Resource Relationships","Relationships are the heart of Laravel Nova. It's the way you connect resources with other resources by using the Eloqunet relationships that were defined in your Eloquent models. In this tutorial let's pass by the most common relationships and also see in detail the Polymorphic 1-to-Many relationships, leaving the Polymorphic Many-to-Many and the 1-to-Many with pivot editing for a later video","10","1","1","0","1","1410","440590153","Mastering Nova - First glance at Resource Relationships.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"11","Using customized accessors on Global Search","What if you need to have results in your Global Search but not given by by a native eloquent attribute but by a computer attribute (Accessor) that you will create? Let's deep dive in a way to completely generate computed columns with the results you want to show in your Global Search results","11","1","1","1","1","357","417004687","Mastering Nova - Using customized accessors in the global search.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"12","Recompiling Nova assets","Nova comes with assets that you can change, and recompile to fit your needs. In this tutorial we will learn how to recompile the Nova assets and publish them in your public directory. At the end we will also correct the field TextArea to become aligned with width, so we can correct the Vue component, recompile, publish and see it corrected in your forms","12","1","1","0","1","604","440640368","Mastering Nova - Recompiling Nova assets.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"13","Data sync between server and client UI components","We have server and client components, life for instance a Field. There is a server configuration, and a Vue Field component. In this tutorial we we learn how to pass data from the server to the vue component so you can then use it to affect the field itself. For instance, in this case, to pass a RGB color from the server to change the background color of the Text Field","13","1","1","0","1","347","440652958","Mastering Nova - Data sync between server and client UI components.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"14","Creating your first UI Component - An enhanced Field","After learning how to pass data to default Nova UI components, time to create our first UI Component, a Field. We will then develop it to be able to receive an icon parameter from the server, to render a fontawesome icon. Pretty neat!","14","1","1","0","1","915","440670577","Mastering Nova - Creating your first UI Component - An enhanced Field.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"15","Sorting your Resources in the Sidebar","There is an undocumented feature that allows you to sort your Resources on your Sidebar, using a priority attribute. Lets find out how to use it correctly","1","1","1","0","2","235","440796216","Mastering Nova - Sorting your Resources in the Sidebar.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"16","The power of abstract Resources","We'll start by learning how we can use Abstract Resources to contextualize specific common features like Actions, Lenses, into a group of Resources, and also how to use a master abstract Resource that will able us to use default sorting outside of the ID field","2","1","1","0","2","1301","440802260","Mastering Nova - The power of abstract Resources.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"17","Loading custom location Resources","By default, Nova stores your Resources in the App\Nova namespace. But there is a way to load your Resources from another namespaces. Lets find out how.","3","1","1","0","2","139","440813817","Mastering Nova - Loading Resources from custom locations.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"18","Creating a filter to select columns for your Index view","Getting deeper in Abstract Resources, lets create a Filter that will dynamically use your Resource columns to be visible or not in your index View","4","1","1","0","2","1296","443540783","Mastering Nova - Creating a Filter to select columns for your Index View.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"19","The full power of Resource Policies","One of the most flexible authorization models on Nova is to use Resource Policies to restrict specific data scopes. Let's see how to restrict certain activities via Policy configurations","5","1","1","0","2","561","444352691","Mastering Nova - The full power of Resource Policies.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"20","Single package creation for all of your UI Components","Normally you need to create a new composer package for each any extension UI component. This lesson we will learn how to keep things tidy and just have a single package for everything","6","1","1","0","2","839","446299838","Mastering Nova - Single package creation for all of your UI Components.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"21","Customizing your Resource visibility","There will be cases where you want to have a Resource not visible in the Sidebar, but still use them in the Relationships. In this Lesson we will learn how to use them and also see how to authorize them to be displayable or not","7","1","1","0","2","243","458751323","Mastering Nova - Customizing your Resource visibility.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"22","How to correctly use the Index Query","If you ever need to filter data given your user permission, you shouldn't use index queries. For that, we will dynamically attach model local scopes. Let's find out how","8","1","1","0","2","302","462826941","Mastering Nova - How to correctly use the Index Query.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"23","Using Resource data scopes","One of the critical features you might have is to only show the data that your current user needs/should be able to see (and interact). Lets use Model scopes to limit the data we make accessible to the Nova logged user","9","1","1","1","2","276","462968160","Mastering Nova - Using Resource data scopes.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
"24","Cloning Resources for a better Resource categories strategy","If you have to show Resources that will need to categorize data, you might need to look at a Resource/Model cloning approach. In this lesson we will learn how to use a package to close our Model, and to attach it with a specific scope, as a possible approach","10","1","1","0","2","586","463216529","Mastering Nova - Cloning Resources for a better Resource categories strategy.mp4","2020-10-02 09:36:54","2020-10-04 01:40:51",NULL
